iter	RMSE
0	14.04058789
1	13.13072675
2	12.3260298
3	11.67132279
4	11.0756175
5	10.46152535
6	9.917525661
7	9.409479912
8	9.000352992
9	8.628934237
10	8.288126777
11	7.946993855
12	7.693128128
13	7.447239051
14	7.242448908
15	7.031938124
16	6.867980007
17	6.719188381
18	6.564656273
19	6.450915257
20	6.343700446
21	6.226464168
22	6.13823004
23	6.044652456
24	5.965496824
25	5.895526764
26	5.834019865
27	5.777903004
28	5.727524497
29	5.690987801
30	5.644172256
31	5.606449807
32	5.574641814
33	5.537349629
34	5.506132368
35	5.477210047
36	5.44913759
37	5.423548579
38	5.402920376
39	5.375310371
40	5.358349404
41	5.340939884
42	5.323101397
43	5.304835707
44	5.288861533
45	5.26810552
46	5.255182899
47	5.24230686
48	5.232954861
49	5.22252146
50	5.211835334
51	5.199176236
52	5.190647675
53	5.184256405
54	5.171911645
55	5.1580432
56	5.15010431
57	5.139423525
58	5.130590914
59	5.113087318
60	5.101387917
61	5.093579304
62	5.082725676
63	5.066727721
64	5.059353846
65	5.048246345
66	5.038819744
67	5.026893559
68	5.019898102
69	5.014254306
70	5.00386992
71	4.993898785
72	4.98234841
73	4.973268362
74	4.968560334
75	4.961949807
76	4.956842896
77	4.946683649
78	4.943049532
79	4.925692083
80	4.920094165
81	4.910324622
82	4.903995047
83	4.894614474
84	4.889680839
85	4.886376132
86	4.880589709
87	4.874518823
88	4.863195734
89	4.859495608
90	4.85220087
91	4.844262556
92	4.836755887
93	4.834760517
94	4.82889218
95	4.822374129
96	4.816361247
97	4.808214892
98	4.802644102
99	4.796723552
