iter	Passed	Remaining
0	141	141367
1	144	71898
2	146	48604
3	148	36935
4	150	29983
5	152	25335
6	155	21991
7	157	19505
8	159	17550
9	161	15982
10	163	14699
11	165	13627
12	167	12731
13	170	11973
14	172	11307
15	174	10710
16	176	10202
17	178	9748
18	181	9347
19	183	8987
20	185	8654
21	187	8354
22	190	8072
23	192	7808
24	194	7567
25	196	7352
26	198	7149
27	200	6954
28	202	6775
29	204	6617
30	206	6463
31	208	6317
32	211	6190
33	213	6062
34	215	5937
35	217	5824
36	219	5715
37	221	5616
38	223	5519
39	226	5428
40	228	5341
41	230	5256
42	232	5183
43	235	5110
44	237	5040
45	239	4973
46	241	4903
47	243	4836
48	246	4777
49	248	4713
50	250	4653
51	252	4595
52	254	4540
53	255	4483
54	257	4429
55	259	4377
56	261	4327
57	263	4280
58	265	4232
59	267	4192
60	269	4151
61	271	4111
62	273	4074
63	276	4037
64	278	4002
65	280	3969
66	283	3944
67	285	3914
68	287	3884
69	290	3854
70	292	3827
71	296	3818
72	298	3795
73	301	3767
74	303	3738
75	305	3712
76	308	3692
77	310	3672
78	313	3649
79	315	3629
80	318	3609
81	320	3592
82	322	3562
83	325	3547
84	327	3530
85	330	3513
86	333	3494
87	335	3476
88	338	3460
89	340	3441
90	342	3425
91	345	3409
92	347	3391
93	350	3373
94	352	3358
95	354	3342
96	357	3327
97	359	3308
98	361	3291
99	364	3276
100	366	3261
101	368	3248
102	373	3255
103	376	3240
104	378	3225
105	380	3211
106	383	3197
107	385	3185
108	388	3173
109	390	3160
110	392	3147
111	395	3134
112	397	3122
113	400	3111
114	402	3099
115	405	3086
116	406	3071
117	409	3058
118	411	3047
119	413	3035
120	416	3023
121	418	3008
122	420	2997
123	422	2987
124	425	2977
125	427	2966
126	429	2952
127	431	2942
128	434	2933
129	436	2922
130	438	2910
131	440	2899
132	443	2888
133	445	2878
134	447	2868
135	450	2859
136	452	2849
137	454	2840
138	456	2830
139	459	2820
140	461	2811
141	463	2797
142	465	2789
143	467	2780
144	470	2772
145	472	2763
146	474	2755
147	477	2746
148	479	2738
149	481	2730
150	484	2722
151	486	2715
152	489	2707
153	491	2698
154	493	2691
155	496	2684
156	498	2676
157	501	2670
158	503	2664
159	506	2657
160	507	2645
161	510	2638
162	512	2630
163	514	2623
164	517	2616
165	519	2609
166	521	2602
167	523	2594
168	525	2586
169	528	2580
170	531	2574
171	533	2566
172	535	2560
173	537	2553
174	540	2545
175	542	2539
176	545	2534
177	547	2529
178	550	2522
179	552	2516
180	555	2512
181	558	2508
182	560	2503
183	562	2496
184	565	2492
185	568	2487
186	570	2481
187	573	2476
188	575	2471
189	578	2468
190	581	2464
191	584	2460
192	587	2454
193	589	2449
194	592	2445
195	595	2441
196	597	2435
197	599	2428
198	601	2423
199	604	2417
200	606	2412
201	609	2409
202	612	2404
203	614	2398
204	617	2393
205	619	2388
206	622	2384
207	625	2380
208	627	2376
209	630	2371
210	633	2368
211	636	2366
212	641	2370
213	644	2366
214	646	2361
215	649	2358
216	653	2356
217	656	2355
218	660	2356
219	662	2350
220	665	2344
221	667	2338
222	669	2334
223	672	2329
224	674	2324
225	677	2318
226	679	2314
227	681	2308
228	685	2307
229	688	2303
230	690	2299
231	693	2294
232	695	2288
233	697	2283
234	700	2281
235	703	2276
236	705	2270
237	707	2265
238	709	2260
239	712	2255
240	715	2253
241	718	2249
242	720	2245
243	723	2240
244	725	2237
245	728	2232
246	731	2230
247	733	2225
248	736	2219
249	738	2215
250	740	2211
251	743	2206
252	745	2202
253	749	2200
254	751	2196
255	754	2192
256	756	2187
257	758	2182
258	764	2185
259	766	2181
260	768	2177
261	771	2172
262	773	2167
263	776	2165
264	779	2161
265	781	2157
266	784	2152
267	786	2147
268	788	2142
269	790	2138
270	793	2134
271	796	2132
272	799	2128
273	801	2124
274	804	2119
275	806	2116
276	809	2113
277	811	2108
278	815	2106
279	817	2103
280	821	2100
281	824	2098
