iter	Passed	Remaining
0	0	903
1	1	837
2	2	804
3	3	779
4	3	762
5	4	771
6	5	769
7	6	757
8	6	752
9	7	760
10	8	767
11	9	780
12	10	773
13	10	766
14	11	759
15	12	750
16	12	741
17	13	734
18	14	727
19	14	726
20	15	724
21	16	723
22	16	721
23	17	719
24	18	715
25	19	712
26	19	709
27	20	709
28	21	708
29	21	707
30	22	711
31	23	719
32	24	719
33	25	719
34	26	716
35	26	715
36	27	713
37	28	713
38	28	711
39	29	711
40	30	710
41	31	709
42	31	709
43	32	708
44	33	707
45	34	706
46	34	706
47	35	706
48	36	707
49	37	706
50	38	708
51	38	709
52	39	710
53	40	710
54	41	709
55	42	709
56	42	709
57	43	708
58	44	707
59	45	706
60	45	705
61	46	703
62	47	703
63	48	702
64	48	702
65	49	701
66	50	701
67	51	703
68	52	705
69	53	711
70	54	712
71	55	712
72	55	711
73	56	709
74	57	707
75	58	706
76	58	705
77	59	703
78	60	701
79	60	699
80	61	698
81	62	697
82	62	691
83	63	690
84	64	689
85	64	688
86	65	686
87	66	685
88	66	684
89	68	688
90	68	689
91	69	687
92	70	684
93	70	682
94	71	680
95	72	678
96	72	676
97	73	674
98	73	671
99	74	670
100	75	668
101	75	666
102	76	664
103	76	662
104	77	661
105	78	663
106	79	665
107	80	665
108	81	664
109	82	663
110	83	665
111	83	664
112	84	663
113	85	661
114	85	659
115	86	657
116	86	654
117	87	652
118	87	651
119	88	649
120	89	647
121	89	645
122	90	643
123	90	642
124	91	640
125	92	639
126	92	637
127	93	636
128	94	635
129	94	633
130	95	632
131	95	630
132	96	629
133	97	628
134	98	630
135	99	629
136	99	627
137	100	626
138	100	624
139	101	623
140	102	622
141	102	619
142	103	618
143	103	616
144	104	615
145	104	613
146	105	612
147	106	613
148	107	614
149	108	613
150	109	613
151	109	612
152	110	611
153	111	610
154	111	609
155	112	611
156	113	610
157	114	609
158	114	608
159	115	607
160	116	604
161	116	603
162	117	603
163	118	602
164	118	601
165	119	600
166	120	600
167	121	600
168	122	601
169	123	601
170	123	600
171	124	600
172	125	599
173	126	599
174	127	602
175	128	602
176	129	602
177	130	602
178	131	601
179	131	600
180	132	600
181	133	600
182	134	599
183	135	599
184	135	598
185	136	597
186	137	596
187	137	595
188	138	594
189	139	593
190	139	592
191	140	591
192	141	592
193	142	593
194	143	592
195	144	591
196	144	590
197	145	589
198	146	589
199	147	588
200	147	587
201	148	586
202	149	585
203	149	584
204	150	583
205	151	583
206	152	583
207	152	582
208	153	581
209	154	580
210	154	579
211	155	578
212	157	580
213	157	579
214	158	579
215	159	578
216	160	577
217	160	576
218	161	575
219	162	575
220	162	574
221	163	572
222	164	572
223	164	571
224	165	570
225	166	569
226	166	568
227	167	566
228	168	565
229	168	564
230	169	563
231	169	562
232	170	562
233	171	562
234	172	561
235	173	560
236	173	559
237	174	558
238	174	556
239	175	555
240	176	554
241	176	553
242	177	552
243	177	551
244	178	550
245	179	548
246	179	547
247	180	546
248	180	545
249	181	544
250	182	543
251	182	542
252	183	542
253	184	541
254	184	540
255	185	539
256	186	539
257	187	538
258	187	537
259	188	536
260	189	535
261	189	534
262	190	533
263	191	532
264	191	531
265	192	530
266	192	529
267	193	528
268	194	527
269	194	526
270	195	525
271	195	524
272	196	523
273	197	522
274	197	521
275	198	521
276	199	520
277	200	519
278	201	519
279	201	519
280	202	518
281	203	517
282	203	516
283	204	515
284	204	514
285	205	513
286	206	512
287	206	511
288	207	510
289	208	509
290	208	508
291	209	507
292	210	506
293	210	505
294	211	505
295	212	504
296	212	503
297	213	503
298	214	502
299	215	502
300	216	502
301	217	501
302	217	500
303	218	500
304	219	499
305	219	498
306	220	497
307	221	497
308	221	496
309	222	495
310	223	494
311	224	493
312	224	493
313	225	493
314	226	492
315	227	492
316	228	491
317	229	491
318	230	492
319	231	492
320	232	492
321	233	491
322	234	491
323	235	491
324	236	491
325	237	490
326	238	490
327	238	489
328	239	488
329	240	488
330	241	487
331	241	486
332	242	485
333	243	486
334	244	486
335	245	485
336	246	484
337	247	484
338	247	483
339	248	482
340	249	482
341	250	481
342	250	480
343	251	479
344	252	479
345	253	478
346	253	477
347	254	477
348	255	476
349	255	475
350	256	474
351	257	473
352	258	474
353	259	473
354	260	473
355	261	472
356	262	471
357	262	471
358	263	470
359	264	469
360	264	468
361	265	467
362	265	466
363	266	465
364	267	465
365	267	464
366	268	463
367	269	462
368	270	461
369	271	461
370	271	460
371	273	461
372	274	461
373	275	460
374	276	460
375	276	459
376	277	458
377	278	457
378	278	456
379	279	455
380	279	454
381	280	453
382	281	452
383	281	452
384	282	451
385	283	450
386	283	449
387	284	448
388	285	447
389	286	447
390	288	448
391	289	448
392	289	447
393	290	446
394	291	445
395	291	445
396	292	444
397	293	443
398	293	442
399	294	441
400	295	441
401	296	440
402	296	439
403	297	438
404	297	437
405	298	436
406	299	435
407	299	435
408	301	434
409	303	436
410	304	435
411	304	435
412	305	434
413	306	433
414	307	433
415	307	432
416	308	431
417	309	430
418	309	429
419	310	428
420	310	427
421	311	426
422	312	425
423	312	424
424	313	423
425	313	423
426	314	422
427	315	421
428	316	420
429	317	420
430	318	420
431	319	419
432	319	418
433	320	417
434	321	417
435	321	416
436	322	415
437	323	414
438	323	413
439	324	412
440	325	411
441	325	411
442	326	410
443	326	409
444	327	408
445	328	407
446	328	406
447	329	405
448	329	404
449	330	404
450	331	404
451	332	403
452	333	402
453	334	401
454	334	400
455	335	399
456	335	399
457	336	398
458	337	397
459	337	396
460	338	395
461	338	394
462	339	393
463	340	392
464	340	391
465	341	391
466	341	390
467	342	389
468	343	388
469	343	387
470	344	386
471	345	385
472	345	385
473	346	384
474	347	384
475	348	383
476	348	382
477	349	381
478	349	380
479	350	379
480	351	378
481	351	378
482	352	377
483	353	376
484	353	375
485	354	374
486	354	373
487	355	373
488	356	372
489	356	371
490	357	370
491	358	369
492	358	369
493	359	368
494	360	367
495	361	366
496	362	366
497	362	365
498	363	365
499	364	364
500	364	363
501	365	362
502	366	361
503	366	360
504	367	359
505	367	359
506	368	358
507	369	357
508	369	356
509	370	355
510	370	354
511	371	354
512	372	353
513	372	352
514	373	351
515	374	350
516	374	350
517	375	349
518	376	348
519	377	348
520	377	347
521	378	346
522	379	345
523	379	344
524	380	344
525	380	343
526	381	342
527	382	341
528	382	340
529	383	339
530	383	339
531	384	338
532	385	337
533	385	336
534	386	335
535	386	334
536	387	334
537	388	333
538	388	332
539	389	331
540	390	330
541	391	330
542	392	329
543	392	329
544	393	328
545	393	327
546	394	326
547	395	326
548	395	325
549	396	324
550	397	323
551	397	322
552	398	321
553	398	321
554	399	320
555	400	319
556	400	318
557	401	317
558	402	317
559	402	316
560	403	315
561	403	314
562	404	314
563	405	313
564	406	312
565	407	312
566	407	311
567	408	310
568	409	309
569	409	309
570	410	308
571	410	307
572	411	306
573	412	305
574	412	305
575	413	304
576	414	303
577	414	302
578	415	301
579	415	301
580	416	300
581	417	299
582	417	298
583	418	298
584	419	297
585	419	296
586	420	295
587	421	295
588	422	294
589	422	293
590	423	293
591	424	292
592	424	291
593	425	290
594	426	290
595	426	289
596	427	288
597	428	287
598	428	286
599	429	286
600	429	285
601	430	284
602	431	283
603	431	283
604	432	282
605	432	281
606	433	280
607	434	279
608	435	279
609	436	278
610	437	278
611	437	277
612	438	276
613	439	276
614	440	275
615	440	274
616	441	273
617	441	273
618	442	272
619	443	271
620	443	270
621	444	269
622	444	269
623	445	268
624	446	267
625	446	266
626	447	266
627	448	265
628	448	264
629	449	263
630	450	263
631	451	262
632	452	262
633	452	261
634	453	260
635	454	259
636	454	259
637	455	258
638	455	257
639	456	256
640	457	256
641	457	255
642	458	254
643	458	253
644	459	252
645	460	252
646	460	251
647	461	250
648	462	249
649	462	249
650	463	248
651	464	247
652	465	247
653	466	246
654	467	245
655	467	245
656	468	244
657	468	243
658	469	242
659	470	242
660	470	241
661	471	240
662	471	239
663	472	239
664	473	238
665	473	237
666	474	236
667	474	236
668	475	235
669	476	234
670	477	234
671	478	233
672	479	232
673	479	232
674	480	231
675	481	230
676	482	230
677	482	229
678	483	228
679	483	227
680	484	226
681	485	226
682	485	225
683	486	224
684	487	223
685	487	223
686	488	222
687	488	221
688	489	220
689	490	220
690	490	219
691	491	218
692	492	218
693	492	217
694	493	216
695	494	215
696	495	215
697	495	214
698	497	214
699	498	213
700	499	212
701	499	212
702	500	211
703	501	210
704	501	210
705	502	209
706	503	208
707	503	207
708	504	207
709	505	206
710	505	205
711	506	204
712	506	204
713	507	203
714	508	202
715	508	201
716	509	201
717	510	200
718	511	200
719	512	199
720	513	198
721	513	197
722	514	197
723	514	196
724	515	195
725	516	194
726	516	194
727	517	193
728	517	192
729	518	191
730	519	191
731	519	190
732	520	189
733	520	188
734	521	188
735	522	187
736	522	186
737	523	185
738	524	185
739	525	184
740	526	184
741	527	183
742	527	182
743	528	181
744	529	181
745	529	180
746	530	179
747	530	178
748	531	178
749	532	177
750	532	176
751	533	175
752	534	175
753	534	174
754	535	173
755	536	173
756	536	172
757	537	171
758	538	170
759	538	170
760	539	169
761	540	168
762	541	168
763	541	167
764	542	166
765	542	165
766	543	165
767	544	164
768	544	163
769	545	162
770	545	162
771	546	161
772	547	160
773	547	159
774	548	159
775	548	158
776	549	157
777	550	157
778	550	156
779	551	155
780	552	154
781	552	154
782	553	153
783	554	152
784	555	152
785	555	151
786	556	150
787	557	149
788	557	149
789	558	148
790	558	147
791	559	146
792	560	146
793	560	145
794	561	144
795	561	143
796	562	143
797	563	142
798	563	141
799	564	141
800	565	140
801	565	139
802	566	138
803	566	138
804	567	137
805	568	136
806	569	136
807	569	135
808	570	134
809	571	133
810	571	133
811	572	132
812	572	131
813	573	131
814	574	130
815	574	129
816	575	128
817	575	128
818	576	127
819	577	126
820	577	125
821	578	125
822	579	124
823	580	123
824	580	123
825	581	122
826	581	121
827	582	121
828	583	120
829	584	119
830	585	119
831	585	118
832	586	117
833	587	116
834	587	116
835	588	115
836	589	114
837	589	113
838	590	113
839	590	112
840	591	111
841	592	111
842	592	110
843	593	109
844	594	109
845	595	108
846	596	107
847	598	107
848	599	106
849	600	106
850	601	105
851	602	104
852	603	103
853	604	103
854	604	102
855	605	101
856	606	101
857	606	100
858	607	99
859	607	98
860	608	98
861	609	97
862	609	96
863	610	96
864	611	95
865	611	94
866	612	93
867	613	93
868	614	92
869	614	91
870	615	91
871	616	90
872	616	89
873	617	89
874	618	88
875	618	87
876	619	86
877	619	86
878	620	85
879	621	84
880	621	83
881	622	83
882	622	82
883	623	81
884	624	81
885	624	80
886	625	79
887	626	78
888	626	78
889	627	77
890	628	76
891	629	76
892	629	75
893	630	74
894	631	74
895	631	73
896	632	72
897	632	71
898	633	71
899	634	70
900	634	69
901	635	69
902	635	68
903	636	67
904	637	66
905	637	66
906	638	65
907	639	64
908	639	64
909	640	63
910	640	62
911	641	61
912	642	61
913	643	60
914	644	59
915	645	59
916	645	58
917	646	57
918	647	57
919	647	56
920	648	55
921	648	54
922	649	54
923	650	53
924	650	52
925	651	52
926	651	51
927	652	50
928	653	49
929	653	49
930	654	48
931	654	47
932	655	47
933	657	46
934	658	45
935	659	45
936	660	44
937	661	43
938	661	43
939	662	42
940	663	41
941	663	40
942	664	40
943	665	39
944	665	38
945	666	38
946	667	37
947	667	36
948	668	35
949	668	35
950	669	34
951	670	33
952	670	33
953	671	32
954	672	31
955	673	30
956	673	30
957	674	29
958	675	28
959	675	28
960	676	27
961	676	26
962	677	26
963	678	25
964	679	24
965	679	23
966	680	23
967	681	22
968	681	21
969	682	21
970	683	20
971	683	19
972	684	18
973	685	18
974	685	17
975	686	16
976	687	16
977	688	15
978	689	14
979	690	14
980	690	13
981	691	12
982	692	11
983	693	11
984	693	10
985	694	9
986	694	9
987	695	8
988	696	7
989	696	7
990	697	6
991	697	5
992	698	4
993	699	4
994	699	3
995	700	2
996	701	2
997	702	1
998	702	0
999	703	0
